year,state,county,zip_codes,population,ev_registrations,cumulative_ev_stations,median_income
2017,TX,Lee County,"[77853, 78942, 78946, 78947, 78948]",17109.0,1,0,"55,741"
2017,TX,Leon County,"[75831, 75833, 75846, 75850, 75855, 77850, 77855, 77865, 77871]",17235.0,1,0,"44,875"
2017,TX,Liberty County,"[77327, 77368, 77369, 77533, 77535, 77538, 77561, 77564, 77575, 77582]",83597.0,3,0,"48,344"
2017,TX,Limestone County,"[76635, 76642, 76653, 76667, 76678, 76686, 76687]",23391.0,2,0,"40,356"
2017,TX,Live Oak County,"[78022, 78060, 78071, 78075, 78350]",12146.0,1,0,"51,480"
2017,TX,Llano County,"[76831, 76885, 78607, 78609, 78639, 78643, 78657, 78672]",21167.0,3,0,"50,524"
2017,TX,Lubbock County,"[79329, 79350, 79363, 79364, 79366, 79382, 79401, 79402, 79403, 79404, 79405, 79406, 79407, 79408, 79409, 79410, 79411, 79412, 79413, 79414, 79415, 79416, 79423, 79424, 79430, 79452, 79453, 79457, 79464, 79490, 79491, 79493, 79499]",305413.0,31,0,"49,078"
2017,TX,Lynn County,"[79351, 79373, 79381, 79383]",5832.0,1,0,"44,922"
2017,TX,Madison County,"[75852, 77864, 77872]",14251.0,1,0,"44,004"
2017,TX,Marion County,"[75630, 75657]",10057.0,2,0,"36,938"
2017,TX,Matagorda County,"[77404, 77414, 77415, 77419, 77428, 77440, 77456, 77457, 77458, 77465, 77468, 77482, 77483]",36805.0,1,2,"44,896"
2017,TX,Maverick County,"[78852, 78853, 78860, 78877]",58111.0,4,0,"37,734"
2017,TX,McCulloch County,"[76825, 76836, 76852, 76858, 76872, 76887]",7941.0,1,0,"42,367"
2017,TX,McLennan County,"[76524, 76557, 76624, 76630, 76633, 76638, 76640, 76643, 76654, 76655, 76657, 76664, 76682, 76684, 76691, 76701, 76704, 76705, 76706, 76707, 76708, 76710, 76711, 76712, 76798]",251631.0,27,0,"46,262"
2017,TX,Medina County,"[78009, 78016, 78039, 78056, 78059, 78066, 78850, 78861, 78886]",50183.0,2,0,"59,305"
2017,TX,Midland County,"[79701, 79702, 79703, 79704, 79705, 79706, 79707, 79708, 79710, 79711, 79712]",165318.0,9,2,"75,815"
2017,TX,Montague County,"[76230, 76239, 76251, 76255, 76261, 76265, 76270]",19399.0,1,0,"46,592"
2017,TX,Montgomery County,"[77301, 77302, 77303, 77304, 77305, 77306, 77316, 77318, 77328, 77333, 77353, 77354, 77355, 77356, 77357, 77362, 77365, 77372, 77378, 77380, 77381, 77382, 77384, 77385, 77386]",571615.0,106,0,"74,323"
2017,TX,Moore County,"[79013, 79029, 79086, 79105]",21604.0,1,2,"52,469"
2017,TX,Nacogdoches County,"[75760, 75788, 75937, 75943, 75944, 75946, 75958, 75961, 75962, 75963, 75964, 75965, 75978]",65317.0,1,0,"41,482"
2017,TX,Navarro County,"[75102, 75105, 75109, 75110, 75144, 75151, 75153, 75155, 76626, 76639, 76641, 76679, 76681]",48739.0,2,0,"45,103"
2017,TX,Newton County,"[75928, 75932, 75933, 75966, 75977, 77614]",13908.0,1,0,"40,180"
2017,TX,Nolan County,"[79506, 79535, 79537, 79545, 79556]",14854.0,1,0,"42,019"
2017,TX,Nueces County,"[78330, 78335, 78339, 78343, 78347, 78351, 78373, 78380, 78401, 78402, 78403, 78404, 78405, 78406, 78407, 78408, 78409, 78410, 78411, 78412, 78413, 78414, 78415, 78416, 78417, 78418, 78419, 78426, 78427, 78460, 78461, 78463, 78465, 78466, 78467, 78468, 78469, 78470, 78471, 78472, 78473, 78474, 78475, 78476, 78477, 78478, 78480]",361235.0,22,10,"53,317"
2017,TX,Orange County,"[77611, 77626, 77630, 77631, 77632, 77639, 77662, 77670]",84971.0,3,0,"53,667"
2017,TX,Parker County,"[76008, 76035, 76066, 76068, 76082, 76085, 76086, 76087, 76088, 76439, 76485, 76487, 76490]",133501.0,4,0,"70,608"
2017,TX,Polk County,"[75934, 75939, 75960, 77326, 77332, 77335, 77350, 77351, 77360, 77399]",48990.0,4,0,"43,267"
2017,TX,Potter County,"[79010, 79058, 79101, 79102, 79103, 79104, 79106, 79107, 79108, 79111, 79114, 79116, 79117, 79120, 79124, 79159, 79166, 79168, 79172, 79174, 79178, 79185, 79187, 79189]",120340.0,6,0,"41,852"
2017,TX,Randall County,"[79012, 79015, 79016, 79091, 79109, 79110, 79118, 79119, 79121]",134015.0,13,2,"65,564"
