zip,population,city,county,state
92679,30971,Trabuco Canyon,Orange County,Ca
95134,30916,San Jose,Santa Clara County,Ca
92110,30773,San Diego,San Diego County,Ca
91607,30734,Valley Village,Los Angeles County,Ca
90601,30667,Whittier,Los Angeles County,Ca
92316,30656,Bloomington,San Bernardino County,Ca
92673,30633,San Clemente,Orange County,Ca
91303,30611,Canoga Park,Los Angeles County,Ca
91356,30599,Tarzana,Los Angeles County,Ca
95824,30556,Sacramento,Sacramento County,Ca
93654,30476,Reedley,Fresno County,Ca
95204,30406,Stockton,San Joaquin County,Ca
94107,30340,San Francisco,San Francisco County,Ca
91355,30289,Valencia,Los Angeles County,Ca
92120,30241,San Diego,San Diego County,Ca
93662,30191,Selma,Fresno County,Ca
95219,30165,Stockton,San Joaquin County,Ca
95966,30108,Oroville,Butte County,Ca
95330,30051,Lathrop,San Joaquin County,Ca
94589,29959,Vallejo,Solano County,Ca
92653,29923,Laguna Hills,Orange County,Ca
93101,29870,Santa Barbara,Santa Barbara County,Ca
92782,29838,Tustin,Orange County,Ca
95363,29784,Patterson,Stanislaus County,Ca
95682,29750,Shingle Springs,El Dorado County,Ca
91324,29744,Northridge,Los Angeles County,Ca
92614,29544,Irvine,Orange County,Ca
93704,29502,Fresno,Fresno County,Ca
93901,29498,Salinas,Monterey County,Ca
92081,29475,Vista,San Diego County,Ca
96150,29457,South Lake Tahoe,El Dorado County,Ca
92107,29435,San Diego,San Diego County,Ca
91746,29429,La Puente,Los Angeles County,Ca
94585,29401,Suisun City,Solano County,Ca
94580,29377,San Lorenzo,Alameda County,Ca
90302,29307,Inglewood,Los Angeles County,Ca
92604,29080,Irvine,Orange County,Ca
91803,29006,Alhambra,Los Angeles County,Ca
93401,28773,San Luis Obispo,San Luis Obispo County,Ca
91364,28765,Woodland Hills,Los Angeles County,Ca
90017,28754,Los Angeles,Los Angeles County,Ca
95133,28749,San Jose,Santa Clara County,Ca
94131,28705,San Francisco,San Francisco County,Ca
95117,28663,San Jose,Santa Clara County,Ca
90061,28646,Los Angeles,Los Angeles County,Ca
92173,28609,San Ysidro,San Diego County,Ca
95677,28591,Rocklin,Placer County,Ca
91724,28575,Covina,Los Angeles County,Ca
95370,28548,Sonora,Tuolumne County,Ca
91316,28497,Encino,Los Angeles County,Ca
94549,28456,Lafayette,Contra Costa County,Ca
95472,28443,Sebastopol,Sonoma County,Ca
90713,28439,Lakewood,Los Angeles County,Ca
95603,28366,Auburn,Placer County,Ca
90041,28321,Los Angeles,Los Angeles County,Ca
94518,28287,Concord,Contra Costa County,Ca
90039,28244,Los Angeles,Los Angeles County,Ca
94559,28224,Napa,Napa County,Ca
91731,28201,El Monte,Los Angeles County,Ca
95492,28096,Windsor,Sonoma County,Ca
90038,27979,Los Angeles,Los Angeles County,Ca
94002,27893,Belmont,San Mateo County,Ca
95212,27848,Stockton,San Joaquin County,Ca
94306,27785,Palo Alto,Santa Clara County,Ca
95032,27678,Los Gatos,Santa Clara County,Ca
91384,27652,Castaic,Los Angeles County,Ca
90746,27643,Carson,Los Angeles County,Ca
94132,27641,San Francisco,San Francisco County,Ca
91945,27541,Lemon Grove,San Diego County,Ca
92227,27540,Brawley,Imperial County,Ca
90710,27517,Harbor City,Los Angeles County,Ca
91504,27479,Burbank,Los Angeles County,Ca
92532,27454,Lake Elsinore,Riverside County,Ca
95242,27433,Lodi,San Joaquin County,Ca
95945,27388,Grass Valley,Nevada County,Ca
92008,27373,Carlsbad,San Diego County,Ca
92277,27370,Twentynine Palms,San Bernardino County,Ca
93280,27356,Wasco,Kern County,Ca
92868,27280,Orange,Orange County,Ca
94510,27223,Benicia,Solano County,Ca
93933,27197,Marina,Monterey County,Ca
94803,27171,El Sobrante,Contra Costa County,Ca
91103,27167,Pasadena,Los Angeles County,Ca
91740,27131,Glendora,Los Angeles County,Ca
91042,27119,Tujunga,Los Angeles County,Ca
92585,27083,Menifee,Riverside County,Ca
92251,27050,Imperial,Imperial County,Ca
94607,27019,Oakland,Alameda County,Ca
94619,27018,Oakland,Alameda County,Ca
90405,26981,Santa Monica,Los Angeles County,Ca
94506,26947,Danville,Contra Costa County,Ca
95618,26946,Davis,Yolo County,Ca
92411,26915,San Bernardino,San Bernardino County,Ca
91010,26825,Duarte,Los Angeles County,Ca
92211,26741,Palm Desert,Riverside County,Ca
92835,26687,Fullerton,Orange County,Ca
92602,26663,Irvine,Orange County,Ca
90035,26595,Los Angeles,Los Angeles County,Ca
91030,26583,South Pasadena,Los Angeles County,Ca
93725,26568,Fresno,Fresno County,Ca
94062,26531,Redwood City,San Mateo County,Ca
95815,26523,Sacramento,Sacramento County,Ca
94530,26483,El Cerrito,Contra Costa County,Ca
93105,26482,Santa Barbara,Santa Barbara County,Ca
91755,26418,Monterey Park,Los Angeles County,Ca
95776,26352,Woodland,Yolo County,Ca
94598,26346,Walnut Creek,Contra Costa County,Ca
91302,26318,Calabasas,Los Angeles County,Ca
93035,26286,Oxnard,Ventura County,Ca
95409,26158,Santa Rosa,Sonoma County,Ca
91932,26157,Imperial Beach,San Diego County,Ca
94402,26150,San Mateo,San Mateo County,Ca
92629,26144,Dana Point,Orange County,Ca
