zip,population,city,county,state
33785,4871,Indian Rocks Beach,Pinellas County,Fl
32438,4858,Fountain,Bay County,Fl
32567,4837,Laurel Hill,Okaloosa County,Fl
32331,4830,Greenville,Madison County,Fl
33890,4821,Zolfo Springs,Hardee County,Fl
32033,4704,Elkton,St. Johns County,Fl
34289,4692,North Port,Sarasota County,Fl
32950,4666,Malabar,Brevard County,Fl
34773,4647,Saint Cloud,Osceola County,Fl
32058,4607,Lawtey,Bradford County,Fl
33043,4547,Big Pine Key,Monroe County,Fl
32617,4525,Anthony,Marion County,Fl
32431,4515,Cottondale,Jackson County,Fl
34734,4502,Gotha,Orange County,Fl
32131,4381,East Palatka,Putnam County,Fl
32667,4334,Micanopy,Alachua County,Fl
32577,4313,Molino,Escambia County,Fl
32322,4253,Carrabelle,Franklin County,Fl
32455,4239,Ponce De Leon,Walton County,Fl
33922,4235,Bokeelia,Lee County,Fl
34756,4065,Montverde,Lake County,Fl
32580,4038,Valparaiso,Okaloosa County,Fl
32421,3929,Altha,Calhoun County,Fl
34201,3912,Bradenton,Manatee County,Fl
32502,3887,Pensacola,Escambia County,Fl
34737,3862,Howey In The Hills,Lake County,Fl
32542,3841,Eglin Afb,Okaloosa County,Fl
32442,3795,Grand Ridge,Jackson County,Fl
33965,3793,Fort Myers,Lee County,Fl
34217,3719,Bradenton Beach,Manatee County,Fl
32094,3718,Wellborn,Suwannee County,Fl
32328,3716,Eastpoint,Franklin County,Fl
32320,3707,Apalachicola,Franklin County,Fl
32053,3706,Jennings,Hamilton County,Fl
33839,3649,Eagle Lake,Polk County,Fl
33036,3620,Islamorada,Monroe County,Fl
32568,3610,McDavid,Escambia County,Fl
32009,3582,Bryceville,Nassau County,Fl
32744,3544,Lake Helen,Volusia County,Fl
32343,3517,Midway,Gadsden County,Fl
34449,3510,Inglis,Levy County,Fl
32227,3497,Jacksonville,Duval County,Fl
33956,3494,Saint James City,Lee County,Fl
32464,3461,Westville,Holmes County,Fl
32462,3417,Vernon,Washington County,Fl
34705,3306,Astatula,Lake County,Fl
32071,3219,O'Brien,Suwannee County,Fl
32195,3183,Weirsdale,Marion County,Fl
32181,3163,Pomona Park,Putnam County,Fl
32767,3040,Paisley,Lake County,Fl
32096,2875,White Springs,Columbia County,Fl
32443,2850,Greenwood,Jackson County,Fl
33306,2767,Fort Lauderdale,Broward County,Fl
32420,2712,Alford,Jackson County,Fl
33946,2704,Placida,Charlotte County,Fl
32759,2683,Oak Hill,Volusia County,Fl
32764,2642,Osteen,Volusia County,Fl
32059,2641,Lee,Madison County,Fl
32949,2609,Grant,Brevard County,Fl
32461,2589,Inlet Beach,Walton County,Fl
33514,2582,Center Hill,Sumter County,Fl
33827,2513,Babson Park,Polk County,Fl
32702,2490,Altoona,Lake County,Fl
32798,2437,Zellwood,Orange County,Fl
32445,2415,Malone,Jackson County,Fl
32831,2414,Orlando,Orange County,Fl
32083,2392,Raiford,Union County,Fl
32564,2350,Holt,Santa Rosa County,Fl
32346,2326,Panacea,Wakulla County,Fl
32544,2315,Hurlburt Field,Okaloosa County,Fl
33621,2309,Tampa,Hillsborough County,Fl
32026,2269,Raiford,Union County,Fl
32102,2224,Astor,Lake County,Fl
32044,2026,Hampton,Bradford County,Fl
32694,1992,Waldo,Alachua County,Fl
33122,1873,Miami,Miami-Dade County,Fl
32212,1872,Jacksonville,Duval County,Fl
32062,1783,McAlpin,Suwannee County,Fl
32190,1774,Seville,Volusia County,Fl
32140,1727,Florahome,Putnam County,Fl
32307,1713,Tallahassee,Leon County,Fl
32622,1712,Brooker,Bradford County,Fl
33574,1651,Saint Leo,Pasco County,Fl
32625,1628,Cedar Key,Levy County,Fl
32334,1611,Hosford,Liberty County,Fl
32925,1606,Patrick Afb,Brevard County,Fl
33786,1579,Belleair Beach,Pinellas County,Fl
32350,1563,Pinetta,Madison County,Fl
32306,1547,Tallahassee,Leon County,Fl
32709,1545,Christmas,Orange County,Fl
